# SignalP-5.0	Organism: Eukarya	Timestamp: 20210412190349
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
C3_04300C_A	OTHER	0.000909	0.999091	
C1_11060C_A	OTHER	0.000494	0.999506	
CR_06690C_A	OTHER	0.002963	0.997037	
CR_05300C_A	OTHER	0.000695	0.999305	
C2_04440W_A	OTHER	0.000669	0.999331	
C3_06190C_A	SP(Sec/SPI)	0.992738	0.007262	CS pos: 18-19. AMA-KT. Pr: 0.8586
C5_05170W_A	OTHER	0.000810	0.999190	
C1_08060W_A	OTHER	0.000255	0.999745	
C2_01740C_A	OTHER	0.000847	0.999153	
C4_05620C_A	OTHER	0.000456	0.999544	
C5_00280C_A	OTHER	0.133370	0.866630	
C2_06510W_A	OTHER	0.001245	0.998755	
CR_03780C_A	OTHER	0.001001	0.998999	
C5_03740W_A	OTHER	0.000257	0.999743	
C4_02140C_A	OTHER	0.004091	0.995909	
CR_06950C_A	OTHER	0.001476	0.998524	
C1_12750C_A	OTHER	0.000392	0.999608	
C3_06180C_A	OTHER	0.000979	0.999021	
C2_00130W_A	OTHER	0.026177	0.973823	
CR_05980W_A	OTHER	0.001555	0.998445	
C2_10590W_A	OTHER	0.001569	0.998431	
C1_01860W_A	OTHER	0.000251	0.999749	
C7_04020C_A	OTHER	0.000474	0.999526	
C1_05500W_A	OTHER	0.001567	0.998433	
C5_03330C_A	OTHER	0.000891	0.999109	
C2_04010C_A	OTHER	0.000923	0.999077	
C6_01950C_A	OTHER	0.000452	0.999548	
C4_00970C_A	OTHER	0.000389	0.999611	
C2_02060C_A	OTHER	0.000756	0.999244	
C6_04130C_A	SP(Sec/SPI)	0.994331	0.005669	CS pos: 17-18. ATA-KV. Pr: 0.8989
CR_02580W_A	OTHER	0.001131	0.998869	
C1_03950C_A	OTHER	0.000218	0.999782	
C4_04170C_A	OTHER	0.000670	0.999330	
CR_10210W_A	SP(Sec/SPI)	0.923090	0.076910	CS pos: 21-22. TIS-LP. Pr: 0.3264
CR_00800C_A	OTHER	0.001784	0.998216	
CR_03220C_A	OTHER	0.001017	0.998983	
C2_08780W_A	OTHER	0.000589	0.999411	
C6_00450C_A	OTHER	0.102123	0.897877	
C5_05140W_A	OTHER	0.005935	0.994065	
C2_05210W_A	OTHER	0.001055	0.998945	
CR_06490C_A	OTHER	0.000586	0.999414	
C4_03920W_A	OTHER	0.000534	0.999466	
C2_03150C_A	OTHER	0.000887	0.999113	
C1_08020W_A	OTHER	0.000639	0.999361	
C4_00420C_A	OTHER	0.001103	0.998897	
C3_05900W_A	OTHER	0.002239	0.997761	
CR_09790W_A	OTHER	0.001328	0.998672	
C2_01380W_A	SP(Sec/SPI)	0.995683	0.004317	CS pos: 17-18. VLG-SS. Pr: 0.4151
C3_07640C_A	OTHER	0.003348	0.996652	
C7_03320C_A	OTHER	0.001553	0.998447	
C1_07430W_A	SP(Sec/SPI)	0.997284	0.002716	CS pos: 18-19. ALA-KN. Pr: 0.9677
C6_04280W_A	OTHER	0.002037	0.997963	
C1_07710C_A	OTHER	0.007054	0.992946	
C1_04740W_A	OTHER	0.001184	0.998816	
C3_01260C_A	SP(Sec/SPI)	0.779974	0.220026	CS pos: 26-27. VEG-LL. Pr: 0.3810
C5_04490C_A	OTHER	0.001114	0.998886	
C1_12760W_A	OTHER	0.000651	0.999349	
C1_07030C_A	SP(Sec/SPI)	0.826817	0.173183	CS pos: 19-20. TTA-EI. Pr: 0.5821
C3_01700W_A	OTHER	0.002764	0.997236	
C1_09750W_A	OTHER	0.000120	0.999880	
C2_05400W_A	OTHER	0.001106	0.998894	
C6_03530C_A	OTHER	0.000419	0.999581	
C4_06780C_A	OTHER	0.003986	0.996014	
CR_02990C_A	OTHER	0.001869	0.998131	
C6_01650C_A	OTHER	0.000566	0.999434	
C1_04980C_A	OTHER	0.000858	0.999142	
C2_09790W_A	OTHER	0.000071	0.999929	
CR_05580C_A	OTHER	0.000595	0.999405	
C2_03430W_A	OTHER	0.000321	0.999679	
CR_00060C_A	OTHER	0.000717	0.999283	
C3_07820W_A	OTHER	0.001743	0.998257	
C1_04240C_A	OTHER	0.000593	0.999407	
C4_06980W_A	SP(Sec/SPI)	0.995026	0.004974	CS pos: 15-16. SVA-AP. Pr: 0.4323
CR_10570C_A	OTHER	0.000397	0.999603	
C1_09550W_A	OTHER	0.002636	0.997364	
CR_07620W_A	OTHER	0.001059	0.998941	
C2_10700C_A	OTHER	0.000560	0.999440	
C7_01740C_A	OTHER	0.000366	0.999634	
C4_01770W_A	OTHER	0.002145	0.997855	
C5_05470W_A	OTHER	0.110815	0.889185	
C1_09190C_A	OTHER	0.001735	0.998265	
C4_00430W_A	OTHER	0.000710	0.999290	
C7_02610C_A	OTHER	0.103243	0.896757	
C2_09210W_A	SP(Sec/SPI)	0.739500	0.260500	CS pos: 14-15. IHT-KQ. Pr: 0.3625
C5_02520W_A	OTHER	0.000224	0.999776	
C2_09780C_A	SP(Sec/SPI)	0.983645	0.016355	CS pos: 19-20. VAG-YE. Pr: 0.8151
C1_09250W_A	OTHER	0.002759	0.997241	
C7_03230C_A	OTHER	0.003610	0.996390	
C3_05520C_A	OTHER	0.000775	0.999225	
C1_07830C_A	OTHER	0.002715	0.997285	
C7_02050C_A	OTHER	0.000181	0.999819	
C2_04240C_A	OTHER	0.000865	0.999135	
C2_09930W_A	OTHER	0.002800	0.997200	
C2_08300C_A	OTHER	0.034755	0.965245	
C5_00550C_A	OTHER	0.006890	0.993110	
C5_01090C_A	OTHER	0.000300	0.999700	
C3_02290W_A	OTHER	0.000111	0.999889	
C2_08820C_A	OTHER	0.000202	0.999798	
C1_03250C_A	OTHER	0.000567	0.999433	
C1_02080W_A	OTHER	0.000707	0.999293	
C1_01400C_A	OTHER	0.000862	0.999138	
C6_03440W_A	OTHER	0.000385	0.999615	
C4_05440C_A	SP(Sec/SPI)	0.993040	0.006960	CS pos: 21-22. CLA-ND. Pr: 0.9614
CR_00340C_A	OTHER	0.002855	0.997145	
C7_00230W_A	OTHER	0.001099	0.998901	
C4_03730C_A	OTHER	0.000378	0.999622	
C4_05760W_A	OTHER	0.000354	0.999646	
C1_11320C_A	OTHER	0.002447	0.997553	
C5_00950C_A	OTHER	0.000352	0.999648	
C1_11650W_A	OTHER	0.000392	0.999608	
C1_03920C_A	OTHER	0.001434	0.998566	
CR_08330W_A	OTHER	0.011820	0.988180	
C1_03320C_A	OTHER	0.000193	0.999807	
C5_03860W_A	OTHER	0.000682	0.999318	
C7_00270W_A	OTHER	0.000785	0.999215	
C2_09370C_A	OTHER	0.000139	0.999861	
CR_02170W_A	OTHER	0.002303	0.997697	
C3_06760W_A	OTHER	0.000316	0.999684	
C3_05620W_A	OTHER	0.002174	0.997826	
C7_04240C_A	OTHER	0.000452	0.999548	
C3_06090C_A	OTHER	0.022008	0.977992	
C7_04040C_A	OTHER	0.000742	0.999258	
C6_04250W_A	OTHER	0.001010	0.998990	
C5_04710W_A	OTHER	0.002575	0.997425	
CR_04650W_A	OTHER	0.000460	0.999540	
C6_02650C_A	OTHER	0.000621	0.999379	
C6_02740W_A	OTHER	0.000477	0.999523	
C4_05190C_A	OTHER	0.000301	0.999699	
C1_11030W_A	OTHER	0.000303	0.999697	
C3_01550C_A	SP(Sec/SPI)	0.993538	0.006462	CS pos: 21-22. VSA-GC. Pr: 0.8471
CR_02890C_A	OTHER	0.000513	0.999487	
C5_04770W_A	OTHER	0.000974	0.999026	
C7_02950C_A	OTHER	0.000575	0.999425	
C5_04100W_A	OTHER	0.001315	0.998685	
C7_01930C_A	OTHER	0.000362	0.999638	
CR_01140C_A	OTHER	0.000800	0.999200	
C1_10540C_A	OTHER	0.000636	0.999364	
C5_01700W_A	OTHER	0.000469	0.999531	
CR_00980C_A	OTHER	0.001004	0.998996	
C3_07020W_A	OTHER	0.001554	0.998446	
C1_01790W_A	OTHER	0.000514	0.999486	
C3_07610W_A	OTHER	0.000594	0.999406	
C4_02200C_A	OTHER	0.000520	0.999480	
C1_05390C_A	OTHER	0.000375	0.999625	
C3_04130W_A	OTHER	0.000949	0.999051	
C1_08900W_A	OTHER	0.000675	0.999325	
C1_04590W_A	OTHER	0.079799	0.920201	
C7_04180W_A	OTHER	0.002630	0.997370	
C5_05110C_A	OTHER	0.000134	0.999866	
CR_02720C_A	OTHER	0.001518	0.998482	
C5_05220W_A	OTHER	0.000559	0.999441	
C6_01070C_A	OTHER	0.017551	0.982449	
C4_01550C_A	OTHER	0.065362	0.934638	
CR_03210C_A	OTHER	0.000683	0.999317	
C1_05270C_A	OTHER	0.000657	0.999343	
C1_02970W_A	OTHER	0.000748	0.999252	
C1_06150W_A	OTHER	0.000529	0.999471	
C2_06840W_A	OTHER	0.312796	0.687204	
CR_06110C_A	OTHER	0.001185	0.998815	
C1_07570C_A	OTHER	0.000281	0.999719	
C4_06990W_A	OTHER	0.008291	0.991709	
C5_01570C_A	SP(Sec/SPI)	0.846013	0.153987	CS pos: 13-14. TIS-YN. Pr: 0.4094
CR_04290W_A	OTHER	0.000454	0.999546	
C7_00790W_A	OTHER	0.002389	0.997611	
C7_01380W_A	OTHER	0.000825	0.999175	
C1_14140C_A	OTHER	0.003492	0.996508	
CR_06150C_A	OTHER	0.000347	0.999653	
C7_00300W_A	OTHER	0.002242	0.997758	
C3_00300W_A	OTHER	0.001336	0.998664	
C1_04560W_A	OTHER	0.000615	0.999385	
C1_01850C_A	OTHER	0.000387	0.999613	
C1_09170W_A	OTHER	0.002798	0.997202	
C2_09040W_A	OTHER	0.000418	0.999582	
CR_00590W_A	OTHER	0.001005	0.998995	
C4_06600W_A	OTHER	0.000151	0.999849	
C1_07950C_A	OTHER	0.000140	0.999860	
C3_01640C_A	OTHER	0.001391	0.998609	
C6_04440C_A	SP(Sec/SPI)	0.898945	0.101055	CS pos: 22-23. TQS-HV. Pr: 0.7083
C1_01800W_A	OTHER	0.000827	0.999173	
C1_12250C_A	OTHER	0.000936	0.999064	
C7_02660C_A	OTHER	0.000834	0.999166	
C5_05500C_A	OTHER	0.000359	0.999641	
CR_10500C_A	OTHER	0.060645	0.939355	
C3_01090W_A	SP(Sec/SPI)	0.695251	0.304749	CS pos: 33-34. ANS-AI. Pr: 0.4200
C3_04870W_A	OTHER	0.000384	0.999616	
CR_07720C_A	OTHER	0.004799	0.995201	
CR_01000C_A	OTHER	0.003310	0.996690	
C2_02120W_A	OTHER	0.003479	0.996521	
C7_01990C_A	OTHER	0.000650	0.999350	
C3_05760W_A	OTHER	0.000901	0.999099	
C6_03930W_A	OTHER	0.000670	0.999330	
CR_05710C_A	OTHER	0.000267	0.999733	
C2_00930C_A	OTHER	0.000226	0.999774	
C2_00070C_A	SP(Sec/SPI)	0.548309	0.451691	CS pos: 21-22. TQA-TL. Pr: 0.3621
C2_03280W_A	OTHER	0.000586	0.999414	
C6_00820W_A	SP(Sec/SPI)	0.993370	0.006630	CS pos: 17-18. SLA-AP. Pr: 0.2388
C3_02060W_A	OTHER	0.000587	0.999413	
C3_01730C_A	SP(Sec/SPI)	0.999502	0.000498	CS pos: 23-24. VAA-SD. Pr: 0.5366
C7_01840W_A	OTHER	0.000882	0.999118	
C6_00010W_A	OTHER	0.190762	0.809238	
C6_02090C_A	OTHER	0.000715	0.999285	
C4_02010C_A	OTHER	0.004303	0.995697	
C2_03020C_A	OTHER	0.001883	0.998117	
C2_01670C_A	OTHER	0.003726	0.996274	
C4_04260C_A	OTHER	0.000676	0.999324	
C3_01660W_A	OTHER	0.011929	0.988071	
CR_01700C_A	OTHER	0.000131	0.999869	
C1_07170C_A	OTHER	0.001604	0.998396	
C2_07790C_A	OTHER	0.001105	0.998895	
C6_01920C_A	OTHER	0.000767	0.999233	
C5_01260W_A	OTHER	0.000774	0.999226	
C7_04160W_A	OTHER	0.001338	0.998662	
C6_02250W_A	OTHER	0.001227	0.998773	
C4_01000C_A	SP(Sec/SPI)	0.814665	0.185335	CS pos: 20-21. CVS-IS. Pr: 0.2911
C6_02830W_A	OTHER	0.003093	0.996907	
CR_10480W_A	SP(Sec/SPI)	0.971462	0.028538	CS pos: 21-22. ALA-NQ. Pr: 0.7224
C4_00380W_A	OTHER	0.000984	0.999016	
C2_02850W_A	OTHER	0.002915	0.997085	
C2_00790C_A	OTHER	0.000431	0.999569	
CR_06560C_A	OTHER	0.001819	0.998181	
C4_00740W_A	OTHER	0.000422	0.999578	
CR_08980C_A	OTHER	0.000391	0.999609	
C6_04110W_A	OTHER	0.023388	0.976612	
C2_08690C_A	OTHER	0.000466	0.999534	
CR_09590W_A	OTHER	0.000473	0.999527	
C4_05390W_A	OTHER	0.001124	0.998876	
C3_05270C_A	OTHER	0.000889	0.999111	
C4_06850C_A	OTHER	0.001676	0.998324	
C1_04190C_A	OTHER	0.008118	0.991882	
C1_09390W_A	OTHER	0.001180	0.998820	
C3_03250W_A	OTHER	0.000721	0.999279	
C5_00630C_A	OTHER	0.001038	0.998962	
C5_03070W_A	OTHER	0.000320	0.999680	
C7_03860W_A	SP(Sec/SPI)	0.938512	0.061488	CS pos: 20-21. VQG-LL. Pr: 0.8760
CR_08920W_A	OTHER	0.000445	0.999555	
C1_04710C_A	OTHER	0.000176	0.999824	
CR_01260W_A	SP(Sec/SPI)	0.802993	0.197007	CS pos: 20-21. ILA-FD. Pr: 0.7142
C5_03980W_A	OTHER	0.001643	0.998357	
C4_00950C_A	OTHER	0.036229	0.963771	
C1_09230C_A	OTHER	0.015835	0.984165	
CR_08880C_A	OTHER	0.001281	0.998719	
C2_02980C_A	OTHER	0.000917	0.999083	
C1_09300C_A	OTHER	0.001641	0.998359	
C2_06390C_A	OTHER	0.001145	0.998855	
C1_09640W_A	OTHER	0.003192	0.996808	
C2_06470W_A	OTHER	0.001471	0.998529	
C7_03940C_A	OTHER	0.000615	0.999385	
C2_08830W_A	OTHER	0.000208	0.999792	
C1_03030W_A	OTHER	0.000601	0.999399	
CR_05830C_A	OTHER	0.000607	0.999393	
C4_02220C_A	OTHER	0.002348	0.997652	
C4_05800C_A	OTHER	0.000731	0.999269	
C7_00630C_A	OTHER	0.001201	0.998799	
C6_04340W_A	OTHER	0.000804	0.999196	
C1_06010W_A	OTHER	0.004165	0.995835	
C3_05540C_A	OTHER	0.000602	0.999398	
C3_05640W_A	OTHER	0.001644	0.998356	
C2_05570C_A	OTHER	0.001289	0.998711	
C1_09290C_A	OTHER	0.000494	0.999506	
C3_01900C_A	OTHER	0.000401	0.999599	
C1_09910C_A	OTHER	0.001369	0.998631	
C2_04220C_A	OTHER	0.000461	0.999539	
CR_04670C_A	OTHER	0.000900	0.999100	
C2_08670C_A	OTHER	0.001475	0.998525	
C1_01470W_A	OTHER	0.000605	0.999395	
C1_14430C_A	OTHER	0.003645	0.996355	
C4_02590C_A	OTHER	0.000241	0.999759	
C1_04020C_A	OTHER	0.004745	0.995255	
C7_01630W_A	OTHER	0.009651	0.990349	
C3_06370C_A	OTHER	0.000395	0.999605	
C1_14360C_A	SP(Sec/SPI)	0.968006	0.031994	CS pos: 27-28. THA-LS. Pr: 0.6615
C3_07750W_A	OTHER	0.000520	0.999480	
C4_00710W_A	OTHER	0.000427	0.999573	
C4_04650W_A	OTHER	0.000497	0.999503	
C3_07390C_A	OTHER	0.000597	0.999403	
C1_07200W_A	OTHER	0.001241	0.998759	
C2_05680W_A	OTHER	0.002254	0.997746	
C4_05970W_A	OTHER	0.001740	0.998260	
C4_02440C_A	SP(Sec/SPI)	0.826719	0.173281	CS pos: 16-17. ALS-AS. Pr: 0.1740
C2_03940C_A	OTHER	0.000775	0.999225	
CR_04740C_A	OTHER	0.001821	0.998179	
C3_00370C_A	OTHER	0.000760	0.999240	
C1_12300W_A	OTHER	0.002408	0.997592	
C4_02570C_A	OTHER	0.001509	0.998491	
C4_05640C_A	OTHER	0.002308	0.997692	
CR_04660C_A	OTHER	0.001006	0.998994	
C2_01060C_A	OTHER	0.001683	0.998317	
CR_05020W_A	OTHER	0.000531	0.999469	
C3_07670W_A	OTHER	0.003901	0.996099	
C7_01170C_A	SP(Sec/SPI)	0.663974	0.336026	CS pos: 22-23. RHA-LH. Pr: 0.5436
C4_00230W_A	OTHER	0.016450	0.983550	
C2_00780W_A	OTHER	0.000912	0.999088	
C3_06150W_A	OTHER	0.000620	0.999380	
C1_06620C_A	OTHER	0.000254	0.999746	
C1_05660C_A	OTHER	0.000552	0.999448	
C6_00420W_A	OTHER	0.000692	0.999308	
C2_04520C_A	OTHER	0.000301	0.999699	
C1_00180W_A	OTHER	0.000347	0.999653	
CR_01810C_A	OTHER	0.003136	0.996864	
CR_08410W_A	OTHER	0.000753	0.999247	
CR_04420C_A	SP(Sec/SPI)	0.997331	0.002669	CS pos: 22-23. SDA-AS. Pr: 0.4935
CR_00670C_A	OTHER	0.000718	0.999282	
C4_03460C_A	OTHER	0.001584	0.998416	
C4_00750C_A	OTHER	0.001144	0.998856	
C3_06210C_A	OTHER	0.000989	0.999011	
C4_02930W_A	OTHER	0.001595	0.998405	
CR_07780W_A	OTHER	0.000491	0.999509	
C1_10910C_A	OTHER	0.000808	0.999192	
C2_06520C_A	OTHER	0.000695	0.999305	
C3_05750C_A	SP(Sec/SPI)	0.972070	0.027930	CS pos: 18-19. GQS-LF. Pr: 0.5923
C2_04230W_A	OTHER	0.001219	0.998781	
C3_02830W_A	OTHER	0.000377	0.999623	
C1_03210C_A	OTHER	0.000404	0.999596	
C5_01050C_A	OTHER	0.000779	0.999221	
CR_08520C_A	OTHER	0.003020	0.996980	
C1_00290W_A	OTHER	0.000291	0.999709	
CR_00770W_A	OTHER	0.250529	0.749471	
C1_09040C_A	OTHER	0.226546	0.782626	
CR_07570W_A	OTHER	0.000527	0.999473	
C3_03000W_A	OTHER	0.109875	0.890125	
C4_06040W_A	OTHER	0.001946	0.998054	
C1_00940W_A	OTHER	0.000628	0.999372	
C1_04230W_A	OTHER	0.000784	0.999216	
CR_05320C_A	OTHER	0.002726	0.997274	
CR_06790C_A	OTHER	0.000431	0.999569	
C4_06660W_A	OTHER	0.000311	0.999689	
C2_09530W_A	SP(Sec/SPI)	0.946362	0.053638	CS pos: 18-19. ASG-FW. Pr: 0.7537
C1_00500C_A	OTHER	0.002685	0.997315	
C2_03070C_A	OTHER	0.337033	0.662967	
C1_01950C_A	OTHER	0.000456	0.999544	
C4_02720C_A	OTHER	0.039084	0.960916	
C6_00550W_A	OTHER	0.000871	0.999129	
C1_00380C_A	OTHER	0.000163	0.999837	
C5_05450C_A	OTHER	0.001264	0.998736	
C1_00110W_A	OTHER	0.000533	0.999467	
C6_00900C_A	OTHER	0.001595	0.998405	
C3_03570C_A	OTHER	0.001775	0.998225	
C1_11870W_A	OTHER	0.001309	0.998691	
C3_06990W_A	OTHER	0.000325	0.999675	
C5_04620C_A	OTHER	0.012687	0.987313	
C5_01130W_A	OTHER	0.003419	0.996581	
C4_04150C_A	OTHER	0.000148	0.999852	
C1_13060C_A	OTHER	0.000280	0.999720	
C3_05360C_A	OTHER	0.000507	0.999493	
C1_08640W_A	OTHER	0.000524	0.999476	
CR_10250C_A	OTHER	0.003267	0.996733	
C6_01320W_A	OTHER	0.000760	0.999240	
C4_01240C_A	OTHER	0.000356	0.999644	
C1_11040W_A	OTHER	0.000450	0.999550	
C2_05470W_A	OTHER	0.001904	0.998096	
C1_11680C_A	OTHER	0.000457	0.999543	
CR_05160C_A	OTHER	0.000810	0.999190	
C7_02060W_A	OTHER	0.000453	0.999547	
C2_10750C_A	OTHER	0.000326	0.999674	
C6_03410C_A	OTHER	0.000502	0.999498	
CR_01380W_A	OTHER	0.000986	0.999014	
C4_06010C_A	OTHER	0.011575	0.988425	
C1_04010C_A	OTHER	0.002113	0.997887	
C3_01140W_A	SP(Sec/SPI)	0.904480	0.095520	CS pos: 21-22. VSS-YT. Pr: 0.4980
C5_03600W_A	OTHER	0.000766	0.999234	
C4_00530C_A	SP(Sec/SPI)	0.983442	0.016558	CS pos: 15-16. VTS-LN. Pr: 0.8360
CR_07130C_A	OTHER	0.002653	0.997347	
C4_02800W_A	OTHER	0.000235	0.999765	
C4_05210W_A	OTHER	0.000532	0.999468	
C2_08520C_A	OTHER	0.004592	0.995408	
CR_10680W_A	OTHER	0.001583	0.998417	
C7_00170W_A	OTHER	0.019410	0.980590	
C3_06830C_A	OTHER	0.000757	0.999243	
C1_00510W_A	OTHER	0.000982	0.999018	
C2_07070W_A	OTHER	0.000638	0.999362	
C1_04900W_A	OTHER	0.144408	0.855592	
C7_04190C_A	OTHER	0.000121	0.999879	
C7_04050W_A	OTHER	0.000394	0.999606	
C2_08850C_A	OTHER	0.000293	0.999707	
C1_05330C_A	OTHER	0.000675	0.999325	
C1_13210C_A	OTHER	0.000274	0.999726	
C6_03380W_A	OTHER	0.000687	0.999313	
C3_00620C_A	OTHER	0.002710	0.997290	
C6_00500C_A	OTHER	0.000710	0.999290	
C5_03580C_A	OTHER	0.001388	0.998612	
C4_02660W_A	OTHER	0.007191	0.992809	
C6_03800C_A	OTHER	0.000383	0.999617	
C1_06430C_A	OTHER	0.397689	0.602311	
C2_00840W_A	OTHER	0.001306	0.998694	
C2_02300W_A	OTHER	0.000891	0.999109	
CR_03980W_A	OTHER	0.001067	0.998933	
C4_01920W_A	OTHER	0.131589	0.868411	
C3_04530C_A	OTHER	0.001118	0.998882	
C1_12460C_A	OTHER	0.043591	0.956409	
C7_03140W_A	OTHER	0.001571	0.998429	
C1_04160C_A	OTHER	0.002002	0.997998	
C1_01150C_A	OTHER	0.000856	0.999144	
CR_08360C_A	SP(Sec/SPI)	0.745062	0.254938	CS pos: 16-17. GNA-TP. Pr: 0.3556
C1_07910C_A	OTHER	0.000233	0.999767	
C4_07220C_A	OTHER	0.000770	0.999230	
C5_04750C_A	OTHER	0.000380	0.999620	
CR_06180W_A	OTHER	0.000962	0.999038	
C2_08620W_A	OTHER	0.001316	0.998684	
C7_02280W_A	SP(Sec/SPI)	0.985447	0.014553	CS pos: 19-20. ALA-GI. Pr: 0.8256
C3_07170C_A	OTHER	0.002757	0.997243	
C5_01040W_A	OTHER	0.000581	0.999419	
C5_00310C_A	OTHER	0.001160	0.998840	
C1_08950W_A	OTHER	0.001513	0.998487	
C2_09670C_A	OTHER	0.000597	0.999403	
C2_00360C_A	OTHER	0.000332	0.999668	
C6_03140C_A	OTHER	0.000749	0.999251	
C2_03180C_A	OTHER	0.000591	0.999409	
C5_04440C_A	OTHER	0.004829	0.995171	
C6_01340C_A	OTHER	0.006090	0.993910	
CR_09170C_A	OTHER	0.000927	0.999073	
C2_03130W_A	OTHER	0.000455	0.999545	
C6_02750C_A	OTHER	0.003247	0.996753	
CR_09740W_A	OTHER	0.000155	0.999845	
CR_02920C_A	OTHER	0.000676	0.999324	
C1_14550C_A	OTHER	0.001096	0.998904	
CR_01200W_A	OTHER	0.000670	0.999330	
C4_03790W_A	OTHER	0.000602	0.999398	
C3_00810C_A	OTHER	0.001176	0.998824	
CR_03920C_A	OTHER	0.001839	0.998161	
CR_03750C_A	OTHER	0.000800	0.999200	
C4_05580C_A	SP(Sec/SPI)	0.971334	0.028666	CS pos: 20-21. VAA-AP. Pr: 0.5779
C2_04650C_A	OTHER	0.000996	0.999004	
CR_09510C_A	OTHER	0.000467	0.999533	
C4_06130W_A	OTHER	0.000550	0.999450	
C7_02560W_A	OTHER	0.004429	0.995571	
C1_14560C_A	OTHER	0.000500	0.999500	
C3_02220W_A	OTHER	0.000163	0.999837	
C3_01850W_A	OTHER	0.004432	0.995568	
C5_02800C_A	OTHER	0.000298	0.999702	
C3_07110W_A	OTHER	0.001308	0.998692	
